Wavelength (nm),Optical Density,Transmission (%)
1352,7.24038,5.75E-06
1351,7.23735,5.79E-06
1350,5.47471,3.35E-04
1349,5.08766,8.17E-04
1348,5.3682,4.28E-04
1347,5.03821,9.16E-04
1346,5.11118,7.74E-04
1345,5.30501,4.95E-04
1344,5.3133,4.86E-04
1343,5.29771,5.04E-04
1342,5.12636,7.48E-04
1341,7.31318,4.86E-06
1340,7.23457,5.83E-06
1339,5.46914,3.40E-04
1338,5.9555,1.11E-04
1337,5.24822,5.65E-04
1336,5.4108,3.88E-04
1335,5.12462,7.51E-04
1334,7.31231,4.87E-06
1333,7.29126,5.11E-06
1332,7.27022,5.37E-06
1331,5.04044,9.11E-04
1330,5.3542,4.42E-04
1329,5.19833,6.33E-04
1328,5.49759,3.18E-04
1327,7.24879,5.64E-06
1326,7.44515,3.59E-06
1325,6.36407,4.32E-05
1324,5.28299,5.21E-04
1323,5.38357,4.13E-04
1322,5.11819,7.62E-04
1321,5.34487,4.52E-04
1320,5.32144,4.77E-04
1319,5.70224,1.99E-04
1318,5.20411,6.25E-04
1317,5.37422,4.22E-04
1316,5.04553,9.00E-04
1315,5.09488,8.04E-04
1314,5.14423,7.17E-04
1313,5.49802,3.18E-04
1312,5.35181,4.45E-04
1311,5.30453,4.96E-04
1310,5.25726,5.53E-04
1309,5.34105,4.56E-04
1308,5.42485,3.76E-04
1307,5.07464,8.42E-04
1306,5.14025,7.24E-04
1305,5.46556,3.42E-04
1304,5.29088,5.12E-04
1303,5.07711,8.37E-04
1302,5.22004,6.02E-04
1301,5.06514,8.61E-04
1300,5.41023,3.89E-04
1299,5.22051,6.02E-04
1298,5.33557,4.62E-04
1297,5.68232,2.08E-04
1296,5.18767,6.49E-04
1295,5.35201,4.45E-04
1294,5.01635,9.63E-04
1293,5.45572,3.50E-04
1292,5.39508,4.03E-04
1291,5.41795,3.82E-04
1290,5.34061,4.56E-04
1289,5.37192,4.25E-04
1288,5.40322,3.95E-04
1287,5.3494,4.47E-04
1286,5.29559,5.06E-04
1285,5.3519,4.45E-04
1284,5.40822,3.91E-04
1283,5.3313,4.66E-04
1282,5.25438,5.57E-04
1281,5.48765,3.25E-04
1280,5.32073,4.78E-04
1279,6.07621,8.39E-05
1278,5.1657,6.83E-04
1277,5.4,3.98E-04
1276,5.13431,7.34E-04
1275,5.41582,3.84E-04
1274,5.19733,6.35E-04
