X,Coincidences,Singles1,Singles2
-9.500094,571,51762,47375
-9.329701,551,52157,48004
-9.175123,559,51808,47828
-9.034527,546,51883,47356
-8.905554,585,51555,47715
-8.786754,576,51738,47667
-8.677141,570,52094,47866
-8.575419,559,52256,48009
-8.480928,504,52217,48119
-8.392463,536,51593,48341
-8.309819,570,51495,47806
-8.231955,566,52046,47558
-8.158729,575,51636,47552
-8.089706,559,52013,47893
-8.024217,593,51944,48202
-7.962123,598,51627,48157
-7.903131,584,51545,47856
-7.846915,564,51926,47876
-7.793355,552,51954,48088
-7.742029,587,51954,47973
-7.692958,510,51974,47661
-7.645745,568,51971,47755
-7.600322,517,51998,47784
-7.556648,522,51722,47651
-7.514662,436,51843,48075
-7.473996,557,52113,48178
-7.434662,500,52311,48300
-7.396826,548,51713,48020
-7.359896,495,52113,47497
-7.324048,544,51919,47830
-7.28937,590,51932,48049
-7.255454,584,52347,47886
-7.222456,616,51753,47853
-7.19027,649,52066,47882
-7.1589,643,52239,47656
-7.128332,654,51978,47899
-7.098256,675,51973,47755
-7.068942,674,51788,47688
-7.039942,647,52370,48026
-7.011731,622,52063,47634
-6.983853,599,51844,47766
-6.956506,588,51605,47862
-6.929683,609,51857,47941
-6.903148,519,52312,48047
-6.87701,501,51902,47637
-6.851079,455,51481,48059
-6.825622,451,52075,47559
-6.800387,401,51604,47893
-6.775407,339,52115,47807
-6.750626,330,52000,48214
-6.726261,230,51745,47866
-6.701921,232,51163,47727
-6.677708,178,51376,47311
-6.653749,153,51560,47949
-6.629998,123,52131,48144
-6.606043,110,52086,47497
-6.582603,86,51431,47239
-6.558835,58,51613,47661
-6.535373,55,50940,47151
-6.5118,45,51380,46702
-6.488245,46,51405,47501
-6.464648,59,51219,47642
-6.441122,50,51060,47199
-6.417643,67,51713,47171
-6.393907,116,51432,47616
-6.369986,124,51871,47527
-6.346369,160,52039,47744
-6.322117,191,52040,47816
-6.29801,225,51889,48116
-6.273778,268,51852,47907
-6.249283,308,51822,47348
-6.224509,329,52261,47821
-6.199613,386,51671,47718
-6.174365,397,52403,47917
-6.148799,445,52081,48195
-6.123039,492,52297,47858
-6.09677,535,51499,48203
-6.070356,559,51575,47833
-6.043499,571,51789,47935
-6.016046,583,52029,47549
-5.98833,626,51855,48093
-5.95994,625,51860,47663
-5.931076,643,52142,47824
-5.901682,612,51685,47669
-5.871721,644,52067,48374
-5.84105,636,51720,48070
-5.809659,617,51687,47558
-5.777519,631,51828,47633
-5.74448,603,51480,48319
-5.710683,567,51492,47535
-5.675922,592,52179,48233
-5.640043,555,51855,48230
-5.603264,540,51810,47696
-5.565277,520,51466,47587
-5.525924,509,52019,47803
-5.48535,479,51694,48078
-5.443216,483,51576,47799
-5.399675,521,51510,47917
-5.354236,510,51589,47941
-5.307253,542,51677,47566
-5.258027,575,52056,47823
-5.20664,590,51829,48035
-5.152926,596,51881,48100
-5.09686,586,51617,48151
-5.037848,616,52196,47824
-4.975791,582,51842,47962
-4.910257,583,51141,47878
-4.841152,556,51841,47877
-4.768031,563,51764,47811
-4.690132,570,51594,47363
-4.607421,542,52066,47554
-4.519084,543,51951,47883
-4.424632,605,51645,47685
-4.322734,610,51900,47604
-4.213157,607,51943,48051
-4.094531,557,52271,48002
-3.96559,531,52105,47949
-3.824747,560,51874,47606
-3.67031,544,52019,47817
