X,Coincidences,Singles1,Singles2
-10.499876,2946,78163,72920
-10.500052,2817,77849,72442
-10.327867,2790,77302,72589
-10.168064,2917,77576,72717
-10.019348,2949,77687,72837
-9.880486,2969,77344,72580
-9.750352,2950,78177,72483
-9.628074,2857,77753,72723
-9.513189,2960,78313,73076
-9.404675,2875,78101,73057
-9.30216,2849,78321,72667
-9.205054,2954,77571,73228
-9.113128,2895,77759,72855
-9.025465,2926,77797,72632
-8.942187,2888,77358,72515
-8.862624,2930,77427,72327
-8.786716,2879,77424,72705
-8.714181,3025,77738,73108
-8.64453,2854,77995,72335
-8.577861,2984,77516,73480
-8.513661,2900,77708,72994
-8.452125,2954,77815,72759
-8.39281,2862,77379,72561
-8.335553,2947,77906,73242
-8.280479,2897,77617,72917
-8.226984,2832,77467,72626
-8.175425,2913,77405,72237
-8.125523,2929,77353,72765
-8.077168,2906,78278,72741
-8.030334,2803,77836,72650
-7.984778,2913,78130,72961
-7.940553,3015,77974,72902
-7.897527,2985,77632,73282
-7.85566,2862,78121,72906
-7.814868,2825,77609,72602
-7.775124,2889,77682,73022
-7.736291,2985,77772,72659
-7.698409,2893,78071,73009
-7.661605,2893,78210,72682
-7.625253,2964,77723,72486
-7.590007,2870,77888,72553
-7.555343,2959,77862,72485
-7.5213,2877,77252,72909
-7.488147,2927,78042,73377
-7.455401,2881,77652,72720
-7.423349,2952,77998,72732
-7.391934,2876,77830,72879
-7.361092,2879,77895,72475
-7.330504,2954,77994,73045
-7.300719,2962,77429,72124
-7.27117,2815,77511,72613
-7.242205,2910,77821,73196
-7.213523,2883,77671,72890
-7.185303,3023,77596,72708
-7.157503,2879,77598,72854
-7.130035,2942,77603,73350
-7.102739,3004,78167,73014
-7.076064,2966,77771,72728
-7.049459,2925,77855,73256
-7.023184,2839,77926,72924
-6.997121,2904,77564,72905
-6.971442,2951,78091,73165
-6.945826,2835,77243,71841
-6.920551,2857,77099,72535
-6.895527,2906,77442,72536
-6.870659,2878,77415,72848
-6.845871,2865,77362,72797
-6.821315,2894,77898,72623
-6.796967,2910,77170,72595
-6.772638,2777,76884,72458
-6.748595,2875,77381,72518
-6.724515,2948,76838,72828
-6.700608,2904,77208,72595
-6.67671,2878,77107,72706
-6.653141,2939,77190,72836
-6.629358,2712,76901,72223
-6.605811,2347,77294,72821
-6.582201,1898,77266,72660
-6.558652,1481,76482,71725
-6.535158,890,76699,71442
-6.511698,471,76655,71094
-6.488219,249,75521,70902
-6.464717,221,76418,71184
-6.441247,401,76535,71816
-6.417689,788,76109,71788
-6.394225,1298,76067,71795
-6.370566,1766,76868,71402
-6.346858,2301,77591,72090
-6.323238,2626,77521,72947
-6.299297,2718,76980,72521
-6.275479,2885,77246,72677
-6.251487,2874,77189,73067
-6.227333,2931,77661,72798
-6.203121,2826,76600,72578
-6.178614,2854,77513,72657
-6.154151,2837,77635,72293
-6.129383,2872,77379,72673
-6.104462,2792,76759,72325
-6.079373,2923,76779,72178
-6.054124,2866,77276,72158
-6.028503,2907,77182,71735
-6.002804,2819,77068,72601
-5.976741,2851,76919,72189
-5.950601,2818,77656,72550
-5.92403,2830,77428,72282
-5.897318,2817,77449,72291
-5.870052,2880,77127,72901
-5.842558,2824,76981,72445
-5.814593,2835,76926,72202
-5.786478,2907,77903,72673
-5.757771,2941,77798,72905
-5.728715,2918,76873,72727
-5.699356,2836,76903,72568
-5.669348,2826,77316,72615
-5.639008,2909,77195,72959
-5.608064,2891,77088,72854
-5.57651,2848,77708,72581
-5.54456,2827,77351,72830
-5.511861,2824,76928,72631
-5.478695,2955,77481,72616
-5.444638,2991,77566,73011
-5.410061,2905,77183,72838
-5.374637,2874,78366,73026
-5.338502,2768,77613,72914
-5.301513,2911,77669,72472
-5.263747,2877,77026,72399
-5.224932,2914,77336,72416
-5.185071,2857,76959,72545
-5.144301,2842,77337,72468
-5.102434,2929,77832,72947
-5.059515,2991,77153,72070
-5.015348,2936,77338,72779
-4.969666,2922,77335,72893
-4.922808,2844,76957,72273
-4.87458,2905,77103,72358
-4.824523,2928,77491,73058
-4.772976,2959,77097,72483
-4.719664,2931,77388,72743
-4.664417,2878,77265,72920
-4.607165,2866,77183,73033
-4.547868,2896,77344,72543
-4.486254,2881,77380,72468
-4.422103,2932,77698,72959
-4.355429,2874,77443,72323
-4.285826,2966,77068,73083
-4.213241,2903,77502,72948
-4.137275,2935,76855,72695
-4.057778,2927,76900,72684
-3.974502,3013,77039,72762
-3.886913,2807,76972,72087
-3.794873,2844,77224,72393
-3.697766,2883,77442,72629
-3.595277,2927,77176,72427
-3.486862,2866,77159,72938
-3.371941,2820,76735,72478
-3.249787,2813,77102,72541
-3.119652,2874,77542,72672
-2.980688,2891,77320,72442
-2.831861,2851,76977,71796
-2.672095,3026,77733,72996
