X,Coincidences,Singles1,Singles2
-7.398662,34.9,6923.2,6075.8
-7.396641,33.1,6955.8,6153.3
-7.394648,31.1,6945.7,6048.7
-7.392645,33.1,7010.3,6116.2
-7.390641,33.5,6979.7,6088.4
-7.388637,34.4,7020.2,6121.5
-7.386631,28.7,6958.9,6112.6
-7.384619,30.7,6944,6100
-7.382577,32.5,6981.6,6093.3
-7.380555,32.5,7018.1,6059.9
-7.378534,33.3,6999.2,6151.3
-7.376518,30.9,6910.1,6084.4
-7.374524,32.4,6923.6,6087.5
-7.372507,35,6949.4,6076.7
-7.370507,35.7,7006.1,6114.5
-7.368506,34.7,6950.8,6089.4
-7.366492,32.2,6986.2,6085.2
-7.364477,33.5,6950.7,6086.2
-7.36242,29.9,6931.1,6060
-7.360406,30.5,6983.4,6121.5
-7.358382,35.4,7006.2,6142.8
-7.35638,33.5,7021.3,6099.7
-7.354381,32.5,6980,6154.5
-7.352375,30.1,6992.9,6108.2
-7.350372,30.9,6976.4,6066
-7.348356,31.9,7013.1,6058.1
-7.346361,31.2,6960,6144.2
-7.344353,35.3,6987.1,6070.3
-7.342282,36.3,6954.5,6130.9
-7.340267,30.9,6972.3,6122.7
-7.338237,36.1,6947.9,6053.4
-7.336221,30.7,6879.5,6083.8
-7.334209,32.3,7033.1,6138.4
-7.332209,35.5,6987.9,6051.7
-7.330205,33.1,6893.4,5993.3
-7.328188,29.2,6940.6,6052.6
-7.326188,30.5,6981.2,6099.5
-7.324178,30.9,6952.1,6062.7
-7.322172,32.2,6981.2,6099.1
-7.320172,38.5,7002.2,6094.5
-7.318115,29,6979.7,6082.7
-7.316115,31.4,6969.4,6062.7
-7.314126,33.7,6962.5,6085.8
-7.312132,35.2,7000.4,6107.5
-7.31013,34.7,6943.4,6076.2
-7.308113,31.6,6983.7,6094.8
-7.306098,34.1,7017.3,6137.1
-7.304084,35.1,7009.6,6024.1
-7.302068,29.2,6996.8,6078.5
-7.300069,34,6967.4,6098.1
-7.298008,34.4,6881.6,6026.4
-7.295997,33,6958,6105.3
-7.294013,29.5,6965.7,6067.6
-7.292009,34.6,6959.4,6105.8
-7.29,32.4,6944.4,6058.1
-7.287994,32.8,6965.9,6078.2
-7.285984,32.1,6968.3,6075.2
-7.28397,29.1,6997.8,6078.9
-7.281963,32.7,6972,6056.8
-7.279958,34.1,6968.3,6065.6
-7.277904,33.1,6949.9,6107.3
-7.27589,37.5,6912.1,6057
-7.273894,33.7,6925.2,6074.9
-7.271887,33.1,6992.8,6110.4
-7.269887,32.6,6917.9,6050.7
-7.267871,33.7,6983.1,6086.1
-7.265865,35.1,7063.7,6103.6
-7.26386,30.9,6972.9,6104.4
-7.261854,36.7,6930.6,6089
-7.259805,36,6987.1,6046.5
-7.257792,29.4,6959.2,6024.2
-7.255782,32.8,6927.5,6123.5
-7.253789,34.6,6972.1,6083.4
-7.251789,34.2,6968.1,6078.9
-7.249777,33.1,6978.8,6065.1
-7.247777,33.4,7004.4,6049.9
-7.245767,29.4,6981.9,6043.8
-7.24375,30.2,6919.4,6022.8
-7.241684,34.3,6963.7,6104.5
-7.239667,33,6978.7,6048
-7.237654,33,6993.9,6064.4
-7.235649,32.1,6907,6120.9
-7.233638,33.4,6888.7,6055.4
-7.231633,32.7,6988.8,6112.1
-7.229632,33.2,6943,6141.1
-7.227628,30.6,6948.4,6074.9
-7.225622,29.1,6964.7,6080.7
-7.223607,35.1,6964.5,6038.5
-7.221551,30.8,6972.2,6129.2
-7.219523,30.2,6976.2,6088.9
-7.217503,32.2,6988.7,6099
-7.215508,31.1,6962.8,6120
-7.213513,31.6,6952.9,6099.4
-7.211513,32,6982.7,6102.7
-7.209508,27.9,6978.5,6107.2
-7.2075,31.3,6958.1,6094.2
-7.205491,31.3,6967.2,6068.4
-7.203419,32.8,6952.3,6037.9
-7.201417,29.3,6966.3,6080.2
-7.199406,32.2,6988.2,6091
-7.197397,31.2,6944.2,6028.7
-7.195405,34.2,6995.7,6128.1
-7.193397,32.9,6986.5,6118.5
-7.191391,30.6,6975.9,6068.2
-7.189386,32.4,6934.2,6089.5
-7.187372,30.2,6954,6116.1
-7.185358,32.5,6992.9,6092.1
-7.183291,33.8,6954.4,6127.4
-7.181283,33.9,7028,6153.8
-7.179275,31.9,7033.6,6132.7
-7.177262,32.9,6971.7,6036.5
-7.175258,35.2,6952.3,6114.5
-7.17326,33.2,7030.8,6053.8
-7.171248,31.5,7027.7,6096.3
-7.169241,32,6972.9,6083.8
-7.167237,33.9,6985.2,6104.2
-7.16523,34.6,6992.2,6064
-7.163177,30.6,6981.4,6092.9
-7.161169,28.9,6952.4,6069.3
-7.159149,32.9,6991.5,6043.9
-7.15715,32.8,6956.2,6132
-7.155162,33.9,6953.1,6161.9
-7.15316,32.7,7027.8,6137.5
-7.151156,34,6981.7,6074.1
-7.149155,30.1,7065.1,6049
-7.147149,32.7,6959.7,6076.7
-7.145075,32.3,7060.8,6093.7
-7.143083,33.4,6908.2,6112.5
-7.141078,31.4,6997.4,6139.7
-7.139061,32.1,7008,6117.3
-7.137043,29.3,6975.8,6097.5
-7.135049,33.2,6953,6100.4
-7.133042,32.4,6970.1,6124.5
-7.131037,30.6,7017.9,6074
-7.129032,35.4,7004.1,6154.7
-7.127022,33.1,6978.4,6104.8
-7.124956,30.8,6982.1,6075.1
-7.122968,31.7,7046.6,6131.8
-7.120961,33.1,6931.4,6104.9
-7.118947,30.9,6926.7,6050.2
-7.116944,34.4,6943.7,6087.4
-7.114935,32.6,6962.2,6068
-7.112934,31.2,6952.4,6016.4
-7.110918,34.4,6977.6,6049
-7.108913,31.6,6981.7,6082
-7.106905,32.3,6945.9,6020.6
-7.104844,36.3,7021.7,6073.9
-7.102837,31.3,6929.4,6120.1
-7.100825,29.5,7007.2,6156.9
-7.098806,33.1,6949.1,6061.7
-7.096802,32.7,6947.3,6115.7
-7.094803,33.8,6936,6126.6
-7.092795,34.8,7018.6,6095.6
-7.090784,31,6910.6,6092.4
-7.088784,33.6,6972.4,6129.4
-7.086776,33.6,6991.3,6068.7
-7.084706,35.7,6968.5,6101.3
-7.082715,32,6993.3,6052.4
-7.080711,33.5,6931.8,6072.4
-7.078689,31.2,6916.7,6064.5
-7.076668,28.8,6975.1,6104.1
-7.074656,28.9,6998,6146.5
-7.072651,30.7,6980,6062.7
-7.070638,31.3,6975.7,6108.2
-7.068634,31.4,6968.1,6063.1
-7.066623,29.4,7014.4,6085.9
-7.064549,30.9,6951.4,6088
-7.062549,31,6990.5,6068.5
-7.060533,32,6986.1,6081.8
-7.058518,33.3,6937.8,6044.9
-7.056512,32.6,6953.2,6113.5
-7.054512,31.1,6913.8,6067.5
-7.052512,32.4,6995.1,6096.8
