X,Coincidences,Singles1,Singles2
-12.389931,303,38196,34252
-12.400069,328,38564,34125
-12.330298,339,38816,34092
-12.264274,323,38425,34118
-12.200803,324,38416,33884
-12.140376,314,38613,34108
-12.082402,305,38646,33979
-12.026854,328,38196,33457
-11.973796,291,38519,34038
-11.922999,313,38272,33813
-11.87377,335,38191,33869
-11.826936,336,38616,34205
-11.781582,310,38627,34447
-11.737937,307,37864,33860
-11.69572,314,38539,33975
-11.655078,307,38275,33819
-11.615759,280,38327,34088
-11.577921,303,38472,34068
-11.541443,323,38521,34275
-11.505879,322,38563,33887
-11.47132,297,38586,33951
-11.43803,329,38821,34173
-11.405781,319,38784,34116
-11.374316,330,38813,34109
-11.343893,323,38925,33873
-11.3142,318,38713,34435
-11.285477,315,38883,34376
-11.257373,312,38794,33997
-11.230121,343,38714,34203
-11.203559,313,38867,33790
-11.177679,306,38460,34632
-11.152466,298,38595,33881
-11.127806,318,38709,34116
-11.103834,300,38505,34297
-11.080261,309,38949,34128
-11.057479,314,38898,34233
-11.035059,322,38973,34142
-11.013112,308,38770,34019
-10.991731,322,38889,34600
-10.970762,296,38820,34362
-10.950255,344,39153,34431
-10.930182,340,38759,33981
-10.910439,325,38607,34370
-10.891146,355,38698,34457
-10.872253,353,39076,34473
-10.853673,337,38939,34476
-10.835439,347,38486,33996
-10.817508,330,38884,34158
-10.800014,338,38953,34317
-10.782786,341,38965,34303
-10.765821,373,38860,34575
-10.749061,333,38853,34176
-10.732754,342,38656,33904
-10.716665,344,38759,34537
-10.700763,306,38887,34299
-10.685141,330,38882,34279
-10.669893,312,38771,34042
-10.65474,308,39162,34602
-10.639822,270,38561,34011
-10.625126,302,38831,34156
-10.610589,323,38541,34495
-10.59638,283,38929,34166
-10.582313,291,38701,34117
-10.568406,297,38327,34431
-10.554624,269,38983,34825
-10.541179,301,38802,34401
-10.527743,324,38825,34327
-10.514521,300,38683,34640
-10.501611,288,38848,34455
-10.488654,302,38889,34400
-10.475952,330,38951,34252
-10.463331,291,39041,34382
-10.450864,325,38928,34661
-10.438592,351,38560,34415
-10.426394,318,38811,34212
-10.414343,327,38876,34335
-10.402414,337,38780,34212
-10.390585,343,39112,34729
-10.378906,328,38692,34219
-10.367355,334,39239,34564
-10.355862,354,38973,34441
-10.344417,387,38942,34745
-10.333239,360,38873,34627
-10.321942,363,38850,34393
-10.310932,345,38792,34247
-10.299883,382,38823,34351
-10.289035,362,39029,34247
-10.278154,374,39172,34351
-10.267366,370,38965,34201
-10.256838,377,38668,34556
-10.246211,355,39098,34489
-10.235625,394,38830,34635
-10.225138,361,38690,34366
-10.214855,399,39240,34369
-10.204495,345,39103,34138
-10.194252,348,39446,34837
-10.183994,372,39440,34522
-10.173883,355,38873,34689
-10.163794,317,39045,34848
-10.153809,308,39278,34658
-10.143837,313,38944,34628
-10.133904,314,38898,34784
-10.123989,290,38645,34688
-10.114154,278,38866,34004
-10.104352,277,38978,34086
-10.09458,272,39052,34339
-10.084866,262,39072,34705
-10.075169,225,39280,34338
-10.065511,208,39160,34421
-10.055806,226,39286,34124
-10.046244,212,39049,34512
-10.036701,209,39034,34125
-10.027159,178,39234,34861
-10.017644,169,38798,34381
-10.008165,164,38929,34579
-9.998697,151,39199,34323
-9.989173,124,39288,34178
-9.979773,134,38905,34400
-9.970413,110,38523,34498
-9.960971,85,38752,34192
-9.951556,88,38588,34482
-9.942136,85,38653,34374
-9.932777,68,38971,34343
-9.923436,58,39117,34480
-9.914032,74,38726,34178
-9.904686,58,38607,34770
-9.895301,40,38363,34369
-9.885877,38,38650,34660
-9.876558,58,38686,34404
-9.867201,44,38509,34426
-9.85783,37,38279,34259
-9.848427,42,38585,34672
-9.839023,35,38466,34242
-9.829532,45,38548,34122
-9.820145,47,38940,33926
-9.810744,49,39042,34193
-9.801308,51,38750,34375
-9.791819,66,38881,34465
-9.782324,67,39167,34409
-9.772802,70,38553,34561
-9.763263,78,38794,34580
-9.753691,83,39114,34523
-9.744102,111,38840,34359
-9.734416,103,39071,34277
-9.724768,109,38734,34297
-9.715082,109,38424,34553
-9.705368,142,39066,34225
-9.695615,150,38941,34952
-9.68581,168,39175,34477
-9.675972,179,38732,34425
-9.666077,196,39386,34584
-9.656139,231,38924,34773
-9.646144,236,39188,34571
-9.636099,234,38872,34252
-9.626009,253,38903,34619
-9.615895,277,38970,34442
-9.605754,261,38862,34479
-9.595513,268,39208,34558
-9.58515,289,39054,34346
-9.574754,273,38700,34037
-9.564247,303,38759,34502
-9.553776,312,38809,34115
-9.543225,328,38856,34417
-9.532525,350,38824,34368
-9.521743,360,38994,34303
-9.510985,347,38891,34413
-9.500049,342,38901,34432
-9.48909,377,39140,34710
-9.477939,377,38946,34464
-9.466769,384,39116,34632
-9.455459,313,38983,34499
-9.44416,380,39021,34624
-9.432655,350,38970,34305
-9.42102,358,39436,34360
-9.409347,354,39075,34210
-9.397566,344,38792,34402
-9.385583,368,38785,34507
-9.373578,353,39008,34470
-9.361369,358,39049,34586
-9.349132,331,39071,34478
-9.336698,330,38944,34695
-9.324081,330,38735,34380
-9.311265,321,39167,34394
-9.298388,331,38900,34360
-9.285381,334,38916,34627
-9.27226,323,39331,34271
-9.25879,340,38845,34684
-9.245362,319,39130,34270
-9.231537,304,39028,34434
-9.217774,330,39425,34109
-9.203664,318,39007,34559
-9.189319,292,39435,34692
-9.174842,316,39163,34562
-9.160206,335,38986,34464
-9.145236,313,39062,34573
-9.130107,286,39049,34685
-9.114798,294,38899,34669
-9.099197,320,39610,34592
-9.083324,296,39415,34547
