X,Coincidences,Singles1,Singles2
-4.899028,59,11860.6,10652.2
-4.897032,61.2,11890.4,10603
-4.895023,60.2,11927.4,10541.6
-4.893018,56,11846.2,10547.8
-4.890961,56,11843.8,10584.8
-4.888952,56.4,11891.6,10656.8
-4.886939,59.8,11842.4,10533.4
-4.884927,55,11767.6,10532.6
-4.882914,53.6,11816.2,10562.8
-4.880901,52.2,11930,10576.8
-4.878893,59,11912.2,10559.2
-4.876888,56.8,11773.8,10495.4
-4.874883,59.2,11810.4,10625
-4.872883,54.2,11748.8,10532.8
-4.870877,53.6,11855.4,10596.4
-4.868828,53.6,11849.8,10582.6
-4.866818,55.4,11768.2,10571.4
-4.86481,54.6,11848,10637.8
-4.862807,54.2,11982.4,10524
-4.860808,55.8,11888,10493.4
-4.858801,54.8,11824.8,10624
-4.856803,54.2,11819.8,10617
-4.854802,59.6,11800,10673.8
-4.852796,56,11939.6,10589.4
-4.850791,52.4,11810.4,10486.8
-4.848736,56.4,11824.6,10471.4
-4.846731,60.4,11815,10724.6
-4.844722,49.4,11835,10517.8
-4.842713,51.4,11829.6,10515.6
-4.840707,55.6,11780,10577.4
-4.838699,53.8,11858.8,10484.2
-4.836696,53.4,11775.8,10586.4
-4.83469,60.4,11812.2,10595.8
-4.832689,50,11810.2,10507
-4.830683,56,11850,10557.2
-4.828679,57.4,11722,10676.8
-4.826626,56.6,11917.2,10372.2
-4.824626,59.6,11829.2,10646.6
-4.822615,60.4,11805,10598.4
-4.820613,54.6,11929.8,10486.8
-4.818603,56.2,11899.8,10450
-4.816598,55.6,11754.8,10620
-4.814591,59,11801,10590
-4.81258,52,11910.2,10511.8
-4.810575,53.2,11855.4,10505.4
-4.808567,55.4,11814,10592.2
-4.806563,59,11715.6,10563
-4.804518,53.8,11828.6,10537
-4.802507,60.2,11788.6,10521.6
-4.800505,47.6,11844.6,10478.2
-4.798502,54,11900.2,10611.2
-4.796493,57.2,11767.2,10600
-4.794493,52.4,11933.4,10516
-4.792486,50.4,12006,10483.6
-4.790482,58.2,11794.8,10584.8
-4.788476,56,11914.4,10632.8
-4.786469,50.8,11922.6,10570.2
-4.784412,51.8,11817.2,10498
-4.782401,56.6,11831.8,10517.2
-4.780395,52.2,11711.8,10551.2
-4.778386,59.2,11808,10575.8
-4.776375,56.6,11877.8,10469.4
-4.774371,56.6,11722.2,10651.2
-4.77236,58.2,11786.6,10393.6
-4.770345,55.2,11826.8,10565.2
-4.768336,58,11769.8,10481.6
-4.76633,48,11805.6,10619.6
-4.764326,57.8,11857.8,10519.8
-4.762286,55.8,11863.2,10466.4
-4.760273,55.2,11839,10562.6
-4.75826,52.8,11832.2,10548.8
-4.756251,53,11813.6,10537.4
-4.754244,56.8,11796.4,10572.4
-4.752242,62,11988.4,10506.8
-4.750232,57.4,11771.2,10601
-4.748225,50.4,11798.8,10527.6
-4.74622,54.4,11956.2,10500.2
-4.744213,57.8,11917.4,10536.6
-4.742164,59.8,11721,10568.4
-4.740155,59.6,11838,10492.8
-4.738145,54,11823.2,10589.4
-4.736148,61.6,11821.6,10565.4
-4.734148,56,11768.8,10582
-4.732147,59.2,11855,10528
-4.730148,58,11839.2,10686.6
-4.728139,59.6,11786.6,10624.2
-4.726133,56.4,11867.4,10566
-4.724128,61.2,11786.4,10462
-4.722076,55.6,11784.8,10550
-4.720066,57.2,11918.6,10544.8
-4.718061,63.2,11825.2,10500.8
-4.71605,62.6,11802.4,10489
-4.714029,59.8,11814,10510.2
-4.712024,60.4,11846.6,10533
-4.710021,56.8,11782.6,10568.4
-4.708008,59.6,11841.2,10606.2
-4.706004,62.8,11902.4,10564
-4.704004,59.2,11928.4,10605.8
-4.701956,52.4,11807.6,10603
-4.699955,59.6,11936.8,10539.6
-4.697945,52.2,11870.6,10505.8
-4.69594,62,11863.4,10617.6
-4.693936,59.6,11819.6,10637.6
-4.691932,59.6,11870,10531.2
-4.68992,63.6,11865.4,10533.4
-4.687909,60,11783.4,10609
-4.685902,59.6,11837.6,10418.2
-4.683899,63.6,11745.2,10677
-4.681846,66.6,11939.8,10494.6
-4.679835,59,11778.6,10565
-4.677834,58.8,11878.2,10574.4
-4.675836,61.4,11874.4,10560
-4.67383,62.8,11844.2,10625.2
-4.671818,61.8,11929,10500.2
-4.669816,61,11850,10503
-4.667809,51.8,11732.2,10540.6
-4.665808,52.6,11787.2,10543
-4.663804,59,11856.6,10507
-4.661743,62,11845.2,10554.4
-4.65974,60.8,11824,10681
-4.657731,55.4,11931.8,10547.6
-4.655724,55,11849.6,10595.8
-4.653717,66.8,11727,10494.8
