X,Coincidences,Singles1,Singles2
-9.499943,328,85176,78504
-9.329608,366,85602,78808
-9.175213,308,84436,77692
-9.034475,384,83882,77734
-8.905528,308,84426,77944
-8.786769,326,84702,77384
-8.677287,290,84852,76658
-8.575605,366,85436,78234
-8.480827,310,84986,78082
-8.392553,366,84598,77888
-8.30971,282,85020,78224
-8.232111,268,84854,77896
-8.158832,376,84844,77830
-8.089619,300,85258,77916
-8.024332,312,84954,78116
-7.962196,272,84296,79000
-7.903117,274,84622,78624
-7.846939,272,84852,78316
-7.793378,272,85280,78050
-7.741961,292,84216,77606
-7.692874,232,85098,77968
-7.645653,198,85074,77860
-7.600278,222,84620,78436
-7.556681,230,84664,77720
-7.514617,224,84838,78320
-7.473999,220,85258,78670
-7.434956,184,84728,77868
-7.396637,192,85260,78762
-7.359861,170,84626,77708
-7.324108,200,84024,77822
-7.289292,146,85000,78636
-7.255521,192,84002,78242
-7.222655,138,85338,78804
-7.190334,122,84850,78902
-7.158995,132,83934,77372
-7.128271,124,85408,78564
-7.098268,80,85182,78836
-7.068789,92,85032,77368
-7.040093,86,85154,78614
-7.011753,100,84898,78298
-6.983949,100,84840,78318
-6.956473,74,84520,77814
-6.92958,60,84010,78816
-6.903123,60,85132,78746
-6.876905,60,84426,78042
-6.851108,68,83580,77998
-6.82563,40,83918,77250
-6.800378,42,84284,77826
-6.775473,52,84630,77428
-6.750716,42,84788,77890
-6.726232,44,84094,78344
-6.701882,38,84094,77602
-6.677715,34,84350,77688
-6.653843,18,84898,78034
-6.629853,24,84710,77902
-6.606099,26,84842,77802
-6.582503,32,83484,76866
-6.5588,20,83268,77366
-6.535224,10,83682,77510
-6.511888,8,83614,76928
-6.488153,20,82964,77408
-6.464636,16,83410,76296
-6.441127,18,82130,76510
-6.417469,20,83130,76140
-6.393761,22,83038,76432
-6.370133,12,83602,76384
-6.346149,24,83418,77188
-6.322156,18,83208,77166
-6.298096,28,83756,77884
-6.273821,20,84734,78420
-6.249275,32,84666,78464
-6.2245,28,84732,78532
-6.199551,34,85418,78124
-6.174392,34,84804,77708
-6.148765,38,84648,78058
-6.123088,40,83990,78072
-6.096872,42,84088,78212
-6.070336,64,84020,77382
-6.043385,58,84962,77798
-6.016018,54,83984,77694
-5.988374,58,84292,77880
-5.959924,68,84666,78232
-5.931091,76,84130,78052
-5.90166,90,84450,77976
-5.871739,96,84212,78550
-5.841036,98,83966,78198
-5.809678,108,84458,78102
-5.777496,138,85162,78000
-5.744525,98,84852,78230
-5.710748,118,83720,78204
-5.675922,134,84664,78028
-5.640083,150,85202,77242
-5.603166,172,84664,77526
-5.565284,176,84496,77592
-5.526072,148,85100,77308
-5.48527,200,83860,77888
-5.443398,196,84318,78180
-5.3997,240,84614,78764
-5.354283,208,85122,78148
-5.30715,214,85010,77696
-5.257949,222,84842,78574
-5.206628,200,84282,78560
-5.152977,240,84714,78350
-5.09687,308,85246,78672
-5.037792,274,84254,78136
-4.975717,248,84022,78074
-4.91032,306,84478,78162
-4.841138,270,83814,77286
-4.767996,320,84108,77686
-4.690294,290,84572,78382
-4.607478,370,84260,78158
-4.519056,358,84210,78414
-4.42444,378,84298,78210
-4.322881,332,84350,78168
-4.21322,348,83972,78042
-4.094575,314,84660,78090
-3.965562,296,84396,77410
-3.824752,332,84772,78600
-3.670357,304,84308,78112
