X,Coincidences,Singles1,Singles2
-5.089703,70.4,12964.2,11971.2
-5.088742,77.2,13268,12003
-5.087691,74.4,13216.2,11705
-5.086706,73,12991,11946
-5.085673,71.8,13137,11984.2
-5.084684,72.2,13259.6,11885.8
-5.083673,70.6,13035.2,12108.4
-5.082669,76.6,13352,11808
-5.081672,76.2,13198.6,11932.4
-5.080601,69.6,13044.8,12079.2
-5.079631,75.4,13285.2,11801.4
-5.078567,78.8,13307.8,11923.6
-5.077586,76.4,13110.4,12011.6
-5.076542,74.8,13370.6,11882.8
-5.075556,74.8,13071.6,11939
-5.074517,77,13098.8,11986.4
-5.073522,74.8,13370.6,11796.2
-5.072507,75.4,12956.4,12065.6
-5.0715,78,13212.4,11995
-5.070501,77.6,13288.4,11820.2
-5.069426,76,13029.8,11931
-5.068453,77.8,13167.6,11999.6
-5.067389,80.6,13288,11843
-5.066418,70.6,13071.4,11967.8
-5.065372,66.4,13225.4,12015.8
-5.064382,73.8,13311,11794.4
-5.063351,72.4,13015,11956.6
-5.062353,76,13178.4,11936.6
-5.061342,74.4,13297.8,11956.2
-5.06034,73.2,13010,11979.2
-5.059347,68.4,13395.8,11829.4
-5.058275,68,13196.6,11998.4
-5.057303,79.6,13200.2,12012.6
-5.056247,76.4,13368.8,11990.6
-5.055268,87,13286.8,12002.4
-5.054226,74.4,13031,12070.2
-5.053237,75,13268.2,11844
-5.052207,87,13163.6,12059
-5.051211,82.8,13142,11963.6
-5.050193,81.4,13250.6,12017
-5.049189,76.4,13184.8,11964.4
-5.048193,81.8,13222.6,11953.4
-5.047124,76.8,13395,11844.4
-5.046161,74.2,13109,11992.8
-5.045095,74,13096.8,11870.8
-5.044116,76.6,13215,11863
-5.043069,79.6,13103.4,12058.4
-5.042077,79,13080.2,12044.2
-5.041049,68.6,13390.2,11840.2
-5.040055,75.2,13042,12059
-5.03904,79,13229,12036.4
-5.038031,79,13451,11973
-5.037031,78,13123.2,12073.8
-5.035961,71,13068.2,12016.4
-5.034996,69.8,13303.2,11938
-5.033934,76.4,13224,12040.8
-5.032958,73,13255.4,11997.4
-5.031903,72.8,13311.6,11963
-5.030918,77.2,13150.4,11960.4
-5.02988,80,13244.8,11954
-5.028885,78.6,13289.8,11931.6
-5.027868,76.2,13013.8,12022.4
-5.026871,71.2,13227.6,11980
-5.025866,72.8,13198.4,11961.4
-5.024803,72.8,13144.6,11914.8
-5.023832,76,13179,11978.8
-5.022766,69.6,13255.8,11999.4
-5.02178,79,13052.2,12057.4
-5.02073,79.6,13231.4,11916.2
-5.019749,71.8,13325.8,11933.8
-5.018705,74.4,13256.2,12017.8
-5.017714,80.4,13277.8,12081.2
-5.016692,75.4,13265.2,11953
-5.01569,70.6,13170,12071.8
-5.014683,67,13281,11980.8
-5.013671,77.2,13222.2,11968.8
-5.012676,76.6,13121.8,12045.8
-5.011606,72.4,13386,11970.2
-5.010644,75.2,13195.6,11998.2
-5.00959,75.4,13200.6,12009.6
-5.008601,74.6,13409.2,11944.2
-5.007558,77.4,13112.8,12092.6
-5.006565,74,13097.4,12051.6
-5.005537,70.8,13373.8,11903.2
-5.004538,80.8,13155,12069
-5.00353,75.4,13409.6,11892.8
-5.002522,71.2,13245.8,12026
-5.001527,75,13170.4,11965.2
-5.000457,71,13199.8,12044.4
-4.999488,76,13378,11937.2
-4.998438,78.2,13214,12092.6
-4.997459,80.4,13174.4,12068.4
-4.996414,73.4,13303.8,11964.4
-4.995425,65.8,13116.8,11992.2
-4.994394,76.2,13293,12041.8
-4.993396,74.4,13290.8,12049
-4.992381,77.6,13249,12027.4
-4.991371,81.2,13216.8,11902
-4.990371,77.8,13221.8,11967.8
-4.989304,78,13122.6,12094.2
-4.988334,76.6,13318.8,12018.4
-4.987265,75.2,13225.4,11988.2
-4.986288,78.6,13186.2,12078.6
-4.985244,73.2,13358.8,11965.4
-4.98426,79.6,13218.8,11966.6
-4.983229,73.8,13168,11938.4
-4.982234,77.6,13332.4,11927.4
-4.981216,75.8,13236,12034.8
-4.980207,68.8,13134.8,12014.4
-4.979205,80.2,13325,11946.6
-4.978139,74,13243.8,12073.2
-4.977174,77.2,13118.2,11962.8
-4.976111,70.4,13284.8,12119.2
-4.975133,74.6,13179,11987
-4.974084,71,13148.2,12039.8
-4.973103,70.6,13321,11977.4
-4.972062,73,13240.2,11824.4
-4.97107,75,13212.2,12070.2
-4.970043,69.2,13262.2,11972.6
-4.969044,73.6,13148.4,11875.2
-4.968037,79.6,13116.8,12005.4
-4.966986,80.2,13276.4,12010
-4.966023,80.4,13301.4,11873
-4.964962,71.6,13266.4,12008.4
-4.963983,75,13237.8,12024.8
-4.962933,72,13276.2,11931.4
-4.961946,69,13319.2,11991.8
-4.960908,70.6,13175.8,11987.8
-4.959915,77.4,13221.8,11885
-4.9589,74,13174.4,12000
-4.957901,71.4,13251.6,12074.8
-4.956897,74.6,13236,11987.4
-4.95584,75.2,13345.8,12088
-4.954887,74.6,13168.2,12001.4
-4.953821,67.8,13200.8,11994.2
-4.952848,71.8,13156,12048.2
-4.951794,79,13178.8,11994
-4.950817,77,13229.6,11942
-4.949783,69.2,13182.2,12007.4
-4.948791,80.8,13292.6,12041.2
-4.947776,77.4,13186.2,12006.2
-4.946774,76.2,13249,12148.6
-4.945774,75.2,13216.2,12068.2
-4.944713,72.6,13169.8,11943.2
-4.94375,70,13365.8,12099.6
-4.942688,77.8,13317,11962.4
-4.941708,71,13271.6,12078.2
-4.940654,77.2,13356.8,12037.2
-4.939672,70.4,13238,12012.8
-4.938643,78.6,13285.4,12114.4
-4.937645,76.4,13386.8,12115.4
-4.936627,74,13342.4,11979.4
-4.935623,78.6,13321.8,12088.2
-4.934622,73.8,13389,12128.6
-4.933558,76.2,13220,11993.8
-4.932585,77.2,13189,12045.8
-4.931519,72.8,13258,12085.4
-4.930547,72.8,13188.2,11950.6
