X,Coincidences,Singles1,Singles2
-5.068942,80,12748.4,11597.4
-5.067979,72.8,12947.2,11585
-5.066926,73.4,12766,11622.8
-5.065948,78.8,12895.4,11704.2
-5.064903,69.8,12822,11512.2
-5.063914,73.4,12719.8,11659.4
-5.062886,74.2,12869.6,11681.6
-5.061889,72.8,12804.8,11575.6
-5.060877,80.6,12686.2,11729.4
-5.059871,70.4,13001,11596.4
-5.05888,74.4,12783.6,11496.6
-5.057816,74,12676.4,11706.4
-5.056845,75.6,12825.2,11536.4
-5.055791,78.8,12894.6,11474.6
-5.054807,77.6,12782.6,11552.4
-5.053765,77,12833.4,11640.4
-5.052776,77.2,12699.8,11664.4
-5.051752,72.4,12700.4,11573.4
-5.05075,75.2,12867,11679.6
-5.049745,76.4,12801,11562.2
-5.04868,75.6,12719.8,11728.2
-5.047717,75.4,12857.4,11632.6
-5.046659,69.2,12657.4,11662.2
-5.045683,78.4,12757.6,11642.4
-5.044633,70.2,12857,11559.6
-5.043642,75.8,12809.8,11591.6
-5.042615,72.4,12743.6,11623.6
-5.041619,77,12952.4,11497.2
-5.040602,68,12699.2,11656.8
-5.039598,74.8,12809.2,11676.2
-5.038599,73.6,12853,11649.8
-5.03753,76.2,12776,11600.2
-5.036558,74.4,12857.2,11720.8
-5.035494,74.4,12853,11577.8
-5.034519,71.8,12712.4,11669.4
-5.033468,79.4,12889.4,11619.4
-5.032475,72.8,12778.6,11684.2
-5.031443,78.2,12695.4,11662
-5.030443,71,12870,11703.2
-5.029425,74.2,12847.6,11570.2
-5.028418,72.4,12744.4,11581.6
-5.027422,74.6,12934.8,11619.4
-5.026351,71.2,12762.8,11608.2
-5.02538,70.8,12736.4,11603.2
-5.024312,71,12775.4,11651.8
-5.023331,78.8,12876.4,11497.2
-5.022282,78,12830,11589.2
-5.02129,71.8,12856.6,11592.4
-5.020266,85,12931.4,11502.2
-5.019271,75,12713.4,11724.8
-5.018258,69,12972.6,11679.4
-5.017255,77.2,12832,11614.4
-5.016254,83.6,12670,11785
-5.015183,67,12978.4,11636.8
-5.014221,72.4,12798.8,11671.8
