X,Coincidences,Singles1,Singles2
-9.499923,120,29030,26935
-9.413089,125,29020,26655
-9.330274,170,29870,27140
-9.251579,125,30210,26800
-9.176481,110,28670,26840
-9.104758,105,29790,26885
-9.036193,100,28975,27610
-8.970364,135,30110,27040
-8.907467,130,29605,27585
-8.847231,145,29095,26895
-8.789149,130,29325,27440
-8.733423,95,28675,26475
-8.679925,150,29420,26555
-8.628128,175,29425,26775
-8.578431,105,29025,26690
-8.530384,95,29005,26805
-8.483926,95,28875,26730
-8.439085,155,29770,27365
-8.395906,125,29555,26975
-8.353818,120,28680,27040
-8.313113,145,29785,26985
-8.273749,110,29325,26850
-8.235583,135,29575,26695
-8.19843,165,29750,27485
-8.162417,110,29970,27080
-8.12739,80,28685,27060
-8.09349,135,29325,27020
-8.060272,110,29775,27490
-8.027981,150,29560,26710
-7.996544,155,29300,26005
-7.965996,120,29970,27235
-7.936252,105,29390,26890
-7.906952,100,29095,26875
-7.878597,150,29495,26930
-7.850889,135,29140,26385
-7.823777,130,29550,26350
-7.797228,145,29435,27245
-7.771329,135,29140,27170
-7.746063,95,29085,26570
-7.721127,90,28815,26550
-7.696839,90,28525,26715
-7.672988,120,29300,27005
-7.649748,125,29520,27040
-7.626829,140,28835,26930
-7.604576,120,29435,26865
-7.582409,105,28880,27575
-7.560871,130,29005,26205
-7.539655,125,29205,26860
-7.518797,155,29110,26780
-7.498355,140,29060,27125
-7.478293,155,29495,26635
-7.458446,125,29610,26590
-7.439005,125,28855,27460
-7.41981,180,29225,26795
-7.401127,195,29790,26750
-7.382369,150,29465,26520
-7.364069,180,29400,26160
-7.346072,145,29415,26465
-7.328338,130,29530,27490
-7.310925,115,29170,26525
-7.29366,160,29100,26650
-7.276658,150,29210,26875
-7.259788,130,28735,27205
-7.243344,180,29865,26850
-7.226843,130,28855,27925
-7.210756,125,29240,27165
-7.194702,115,29020,27065
-7.178945,110,29285,26620
-7.163384,195,29200,27000
-7.148063,95,29355,27015
-7.133009,155,29215,26600
-7.117752,115,28710,26535
-7.102648,175,29725,27375
-7.087931,80,28885,26810
-7.073398,100,29145,27190
-7.058943,135,28900,27640
-7.04458,115,29370,27320
-7.030491,100,29575,27030
-7.016392,100,29555,26425
-7.002357,135,28660,27855
-6.988466,100,29635,27215
-6.974781,100,29845,27125
-6.961279,110,29585,27480
-6.947682,95,29770,27370
-6.934299,115,29070,27010
-6.921025,95,29450,27305
-6.907837,125,29135,27115
-6.894818,95,29305,27230
-6.881719,75,29625,28040
-6.868838,40,29280,26625
-6.855919,60,29195,26930
-6.843189,65,29030,27070
-6.830484,60,29000,27005
-6.817864,100,29555,26425
-6.805396,50,28915,26210
-6.792865,50,29205,26475
-6.780459,40,28620,26850
-6.768077,40,28335,26815
-6.75582,90,29495,27425
-6.743533,40,29060,27265
-6.731376,35,28775,27070
-6.719129,25,29660,26830
-6.707059,20,29290,27050
-6.694994,50,29045,26835
-6.682933,45,29305,26315
-6.670986,35,29345,26885
-6.659121,20,28695,26585
-6.647125,20,29125,27075
-6.63527,20,28520,26655
-6.623381,20,29720,27115
-6.611728,15,29240,27455
-6.599781,30,29465,26735
-6.58796,20,28945,27080
-6.576267,10,28695,26600
-6.564475,20,28070,26690
-6.552753,20,28690,27055
-6.540992,20,29550,27060
-6.52929,15,28505,26105
-6.517637,15,29330,26230
-6.505828,15,28675,26700
-6.494115,10,29355,27225
-6.482422,0,28290,26560
-6.470775,15,29495,26960
-6.459009,15,28275,26900
-6.447257,5,28470,27030
-6.435527,10,29195,26875
-6.423723,15,29125,26350
-6.412028,20,28470,27110
-6.400218,10,29120,26460
-6.388332,0,29295,26920
-6.376538,10,29040,26375
-6.364691,20,28670,26430
-6.352946,25,29045,27485
-6.340879,10,30020,26765
-6.328902,20,29505,27105
-6.316968,45,28205,26305
-6.304981,25,29365,27090
-6.292869,25,29565,26840
-6.280735,50,28775,26585
-6.268651,20,28325,26555
-6.256388,30,28905,27375
-6.244236,20,28800,27325
-6.231849,10,28980,26865
-6.219549,45,28380,27225
-6.207049,35,29255,26315
-6.194636,45,29090,26595
-6.182197,40,28980,27645
-6.169592,35,28660,26160
-6.156726,70,28850,26705
-6.144078,25,28925,26555
-6.131117,45,29000,26920
-6.11821,90,28830,26630
-6.105242,60,28975,26965
-6.092175,55,28635,26995
-6.079023,95,28855,26575
-6.06563,80,28970,27105
-6.052316,50,28400,26575
-6.038837,105,29005,27235
-6.025206,105,29180,26345
-6.011421,115,29245,27935
-5.99761,60,30025,26920
-5.983635,80,30020,26500
-5.969575,115,29355,27420
-5.955488,95,28515,26675
-5.941158,90,29380,26870
-5.926672,170,29650,26820
-5.91197,100,28890,26740
-5.897306,105,28525,27005
-5.882369,110,29435,26830
-5.867354,70,28880,27245
-5.852188,130,28275,27040
-5.836495,145,29295,26615
-5.820942,95,28800,26205
-5.805209,145,29145,26785
-5.789204,145,28530,27015
-5.773047,215,29785,26930
-5.756745,105,29015,26890
-5.740145,145,29160,26995
-5.723352,105,29230,27495
-5.706399,155,29100,26490
-5.689042,185,29080,27215
-5.671554,195,28735,27155
-5.653781,180,29725,27050
-5.63579,160,29080,26760
-5.617647,190,29570,26765
-5.599062,245,29205,27565
-5.580092,120,29290,26800
-5.561048,225,30250,26150
-5.541532,140,29510,26095
-5.521739,190,29295,27015
-5.501639,145,29390,26580
-5.481217,165,29690,27665
-5.460332,130,29210,27040
-5.439141,140,29580,27335
-5.417493,145,29200,26485
-5.395512,125,29305,26760
-5.37305,175,28960,26965
-5.350295,120,28725,27115
-5.326883,115,29145,26090
-5.303058,95,28760,26410
-5.278799,155,29160,27205
-5.254023,175,28855,26830
-5.2286,160,29365,26600
-5.202762,125,29375,26690
-5.176212,115,29140,26350
-5.149166,150,29230,26920
-5.121421,80,28550,26565
-5.092907,145,29095,26310
-5.063822,130,28950,27580
-5.03404,120,29070,26525
-5.003418,105,29440,26740
-4.972076,115,29795,26850
-4.9398,110,29880,28145
-4.906774,115,28930,26755
-4.872618,145,28595,27170
-4.837613,105,28660,26665
-4.801603,125,28795,27125
-4.764542,140,28885,26640
-4.726224,105,29550,26980
-4.686851,130,29545,26545
-4.646156,120,29015,26830
-4.604224,120,29475,26990
-4.560862,135,29135,27440
-4.516088,145,29285,27285
-4.469694,140,29680,26870
-4.42161,110,28070,26775
-4.371816,150,29175,26320
-4.320188,110,29140,26810
-4.266504,150,29535,26630
-4.210746,155,28890,26925
-4.152833,125,29185,27280
-4.092438,115,29300,27410
-4.029481,130,29280,27085
-3.96392,145,30020,26490
-3.895226,110,29390,27135
-3.823562,115,30155,26360
-3.748388,115,28710,26405
-3.669787,150,29065,26920
-3.586912,130,29785,26625
